response_id,prog.prof,prog.comf,math.prof,math.comf,stat.prof,stat.comf,updv.num,dom_tf,rsrch_or_ind,PSTAT100,PSTAT115,PSTAT120,PSTAT122,PSTAT126,PSTAT131,PSTAT160,PSTAT174,CS9,CS16,LING104,LING110,LING111,CS130,CS165,ECON145,PSTAT127,PSTAT134,CS5,rsrch,type,lang,area,Biology,Chemistry,Ecology,Economics / Accounting,Entertainment,Environmental science,Music & Audio,Neuroscience,Psychology,Public health,Social or political science,Software development,Technology,media/musical technology
1,adv,5,int,4,adv,5,9+,Yes,No preference,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,True,both,R,"Deep learning and neural networks;Spatial statistics or time series analysis;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally",True,False,False,False,False,True,False,False,False,True,False,False,False,False
2,adv,5,int,4,adv,4,6-8,No,I'm more interested in an industry project,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Databases",True,False,True,False,False,False,False,True,False,True,False,True,True,False
3,adv,4,int,4,adv,4,9+,No,I'm more interested in an industry project,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,False,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally",False,False,False,False,False,False,False,False,False,False,True,True,True,False
4,adv,4,int,3,adv,4,9+,No,I'm more interested in an industry project,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,False,ind,Python,"Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally",False,False,False,False,False,False,False,False,False,False,False,True,True,False
6,int,3,int,3,int,3,6-8,Yes,I'm more interested in an industry project,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,True,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",False,False,False,False,False,False,False,True,False,False,True,True,True,False
7,int,3,adv,5,adv,5,6-8,Yes,I'm more interested in an industry project,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,True,ind,No preference,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally",False,False,False,False,False,True,False,True,False,True,False,True,True,False
8,int,3,int,3,int,3,6-8,No,I'm more interested in an industry project,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,True,ind,Python,Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards,False,False,False,False,False,False,False,False,False,False,False,True,True,True
9,int,4,adv,4,adv,5,3-5,No,I'm more interested in an industry project,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,ind,No preference,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Statistical models and inference, generally;Algorithms",True,False,False,False,False,False,False,True,False,True,False,True,True,False
10,int,4,int,4,adv,4,9+,No,No preference,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,False,both,Python,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",False,False,False,False,False,False,False,False,False,False,True,True,True,False
11,int,4,int,4,beg,3,0-2,Yes,No preference,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,both,No preference,Analysis or classification of images;Deep learning and neural networks;Data visualization and interactive dashboards,False,False,False,False,False,True,False,False,False,False,True,False,True,False
